fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality
8,1;,2;,4;2;,037;19;87;,9921;3,12;,54;11,2;4
6,3;,255;,37;1,1;,04;37;114;,9905;3;,39;10,9;4
6,4;,595;,14;5,2;,058;15;97;,9951;3,38;,36;9;2
6,3;,34;,33;4,6;,034;19;80;,9917;3,38;,58;12;5
6,9;,25;,3;4,1;,054;23;116;,994;2,99;,38;9,4;4
7,6;,18;,46;10,2;,055;58;135;,9968;3,14;,43;9,9;4
7,2;,18;,41;1,2;,048;41;97;,9919;3,14;,45;10,4;3
8,2;,23;,4;7,5;,049;12;76;,9966;3,06;,84;9,7;4
7,4;,24;,42;14;,066;48;198;,9979;2,89;,42;8,9;4
7,4;,24;,42;14;,066;48;198;,9979;2,89;,42;8,9;4
6,1;,32;,24;1,5;,036;38;124;,9898;3,29;,42;12,4;5
5,2;,44;,04;1,4;,036;43;119;,9894;3,36;,33;12,1;6
5,2;,44;,04;1,4;,036;43;119;,9894;3,36;,33;12,1;6
6,4;,22;,56;14,5;,055;27;159;,998;2,98;,4;9,1;3
6,3;,36;,3;4,8;,049;14;85;,9932;3,28;,39;10,6;3
7,5;,29;,31;8,95;,055;20;151;,9968;3,08;,54;9,3;3
9,8;,42;,48;9,85;,034;5;110;,9958;2,87;,29;10;3
7,1;,3;,46;1,5;,066;29;133;,9906;3,12;,54;12,7;4
7,9;,19;,45;1,5;,045;17;96;,9917;3,13;,39;11;4
7,6;,48;,37;,8;,037;4;100;,9902;3,03;,39;11,4;2
6,3;,22;,43;4,55;,038;31;130;,9918;3,35;,33;11,5;5
7,5;,27;,31;17,7;,051;33;173;,999;3,09;,64;10,2;3
6,9;,23;,4;7,5;,04;50;151;,9927;3,11;,27;11,4;4
7,2;,32;,47;5,1;,044;19;65;,991;3,03;,41;12,6;2
5,9;,23;,3;12,9;,054;57;170;,9972;3,28;,39;9,4;3
6,4;,25;,32;5,5;,049;41;176;,995;3,19;,68;9,2;4
6,4;,33;,31;5,5;,048;42;173;,9951;3,19;,66;9,3;4
7,1;,34;,15;1,2;,053;61;183;,9936;3,09;,43;9,2;3
6,8;,28;,4;22;,048;48;167;1,001;2,93;,5;8,7;3
6,9;,27;,4;14;,05;64;227;,9979;3,18;,58;9,6;4
6,8;,26;,56;11,9;,043;64;226;,997;3,02;,63;9,3;3
6,8;,29;,56;11,9;,043;66;230;,9972;3,02;,63;9,3;3
6,7;,24;,41;9,4;,04;49;166;,9954;3,12;,61;9,9;4
5,9;,3;,23;4,2;,038;42;119;,9924;3,15;,5;11;3
6,5;,28;,28;8,5;,047;54;210;,9962;3,09;,54;8,9;2
6,6;,28;,28;8,5;,052;55;211;,9962;3,09;,55;8,9;4
6,8;,28;,36;8;,045;28;123;,9928;3,02;,37;11,4;4
6,4;,29;,44;3,6;,2;75;181;,9942;3,02;,41;9,1;3
6,4;,3;,45;3,5;,197;76;180;,9942;3,02;,39;9,1;4
6,4;,29;,44;3,6;,197;75;183;,9942;3,01;,38;9,1;3
6,8;,26;,24;7,8;,052;54;214;,9961;3,13;,47;8,9;3
7,1;,32;,24;13,1;,05;52;204;,998;3,1;,49;8,8;3
6,8;,26;,24;7,8;,052;54;214;,9961;3,13;,47;8,9;3
6,8;,27;,26;16,1;,049;55;196;,9984;3,15;,5;9,3;3
7,1;,32;,24;13,1;,05;52;204;,998;3,1;,49;8,8;3
6,9;,54;,32;13,2;,05;53;236;,9973;3,2;,5;9,6;3
6,8;,26;,34;13,9;,034;39;134;,9949;3,33;,53;12;4
5,8;,28;,35;2,3;,053;36;114;,9924;3,28;,5;10,2;2
6,4;,21;,5;11,6;,042;45;153;,9972;3,15;,43;8,8;3
7;,16;,32;8,3;,045;38;126;,9958;3,21;,34;9,2;3
10,2;,44;,88;6,2;,049;20;124;,9968;2,99;,51;9,9;2
5,6;,245;,25;9,7;,032;12;68;,994;3,31;,34;10,5;3
6,8;,18;,38;1,4;,038;35;111;,9918;3,32;,59;11,2;5
6,7;,13;,29;5,3;,051;31;122;,9944;3,44;,37;9,7;4
6,2;,25;,25;1,4;,03;35;105;,9912;3,3;,44;11,1;5
7,5;,27;,36;7;,036;45;164;,9939;3,03;,33;11;3
5,8;,26;,24;9,2;,044;55;152;,9961;3,31;,38;9,4;3
5,7;,28;,24;17,5;,044;60;167;,9989;3,31;,44;9,4;3
7,5;,23;,36;7;,036;43;161;,9938;3,04;,32;11;3
7,5;,27;,36;7;,036;45;164;,9939;3,03;,33;11;3
7,2;,685;,21;9,5;,07;33;172;,9971;3;,55;9,1;4
6,2;,25;,25;1,4;,03;35;105;,9912;3,3;,44;11,1;5
6,5;,19;,3;,8;,043;33;144;,9936;3,42;,39;9,1;4
6,3;,495;,22;1,8;,046;31;140;,9929;3,39;,54;10,4;4
7,1;,24;,41;17,8;,046;39;145;,9998;3,32;,39;8,7;3
6,4;,17;,32;2,4;,048;41;200;,9938;3,5;,5;9,7;4
6,4;,17;,32;2,4;,048;41;200;,9938;3,5;,5;9,7;4
7,1;,24;,41;17,8;,046;39;145;,9998;3,32;,39;8,7;3
6,8;,64;,08;9,7;,062;26;142;,9972;3,37;,46;8,9;2
8,3;,28;,4;7,8;,041;38;194;,9976;3,34;,51;9,6;4
7,2;,23;,38;14,3;,058;55;194;,9979;3,09;,44;9;4
7,2;,23;,38;14,3;,058;55;194;,9979;3,09;,44;9;4
7,2;,23;,38;14,3;,058;55;194;,9979;3,09;,44;9;4
7,2;,23;,38;14,3;,058;55;194;,9979;3,09;,44;9;4
7;,26;,59;1,4;,037;40;120;,9918;3,34;,41;11,1;5
6,2;,25;,21;15,55;,039;28;159;,9982;3,48;,64;9,6;4
7,7;,31;,26;7,8;,031;23;90;,9944;3,13;,5;10,4;3
7,1;,21;,37;2,4;,026;23;100;,9903;3,15;,38;11,4;5
6,8;,24;,34;2,7;,047;64,5;218,5;,9934;3,3;,58;9,7;4
6,9;,4;,56;11,2;,043;40;142;,9975;3,14;,46;8,7;3
6,1;,18;,36;2;,038;20;249,5;,9923;3,37;,79;11,3;4
5,8;,2;,27;1,4;,031;12;77;,9905;3,25;,36;10,9;5
6,1;,41;,14;10,4;,037;18;119;,996;3,38;,45;10;3
5,9;,21;,28;4,6;,053;40;199;,9964;3,72;,7;10;2
8,5;,26;,21;16,2;,074;41;197;,998;3,02;,5;9,8;1
5,8;,24;,44;3,5;,029;5;109;,9913;3,53;,43;11,7;1
6,7;,26;,39;1,1;,04;45;147;,9935;3,32;,58;9,6;6
6,3;,35;,3;5,7;,035;8;97;,9927;3,27;,41;11;5
6,3;,35;,3;5,7;,035;8;97;,9927;3,27;,41;11;5
6,4;,23;,39;1,8;,032;23;118;,9912;3,32;,5;11,8;4
5,8;,36;,38;,9;,037;3;75;,9904;3,28;,34;11,4;2
6,9;,115;,35;5,4;,048;36;108;,9939;3,32;,42;10,2;4
6,9;,28;,4;8,2;,036;15;95;,9944;3,17;,33;10,2;3
7,2;,29;,4;13,6;,045;66;231;,9977;3,08;,59;9,6;4
6,2;,24;,35;1,2;,038;22;167;,9912;3,1;,48;10,6;4
6,9;,29;,4;19,45;,043;36;156;,9996;2,93;,47;8,9;3
6,9;,32;,26;8,3;,053;32;180;,9965;3,25;,51;9,2;4
5,3;,58;,07;6,9;,043;34;149;,9944;3,34;,57;9,7;3
5,3;,585;,07;7,1;,044;34;145;,9945;3,34;,57;9,7;4
5,4;,59;,07;7;,045;36;147;,9944;3,34;,57;9,7;4
6,9;,32;,26;8,3;,053;32;180;,9965;3,25;,51;9,2;4
5,2;,6;,07;7;,044;33;147;,9944;3,33;,58;9,7;3
5,8;,25;,26;13,1;,051;44;148;,9972;3,29;,38;9,3;3
6,6;,58;,3;5,1;,057;30;123;,9949;3,24;,38;9;3
7;,29;,54;10,7;,046;59;234;,9966;3,05;,61;9,5;3
6,7;,2;,41;9,1;,044;50;166;,9954;3,14;,58;9,8;4
6,8;,32;,34;1,2;,044;14;67;,9919;3,05;,47;10,6;2
7;,3;,49;4,7;,036;17;105;,9916;3,26;,68;12,4;5
7;,24;,36;2,8;,034;22;112;,99;3,19;,38;12,6;6
6,1;,31;,58;5;,039;36;114;,9909;3,3;,6;12,3;6
6,8;,44;,37;5,1;,047;46;201;,9938;3,08;,65;10,5;2
6,7;,34;,3;15,6;,054;51;196;,9982;3,19;,49;9,3;3
7,1;,35;,24;15,4;,055;46;198;,9988;3,12;,49;8,8;3
7,3;,32;,25;7,2;,056;47;180;,9961;3,08;,47;8,8;3
6,5;,28;,33;15,7;,053;51;190;,9978;3,22;,51;9,7;4
7,2;,23;,39;14,2;,058;49;192;,9979;2,98;,48;9;5
7,2;,23;,39;14,2;,058;49;192;,9979;2,98;,48;9;5
5,9;,15;,31;5,8;,041;53;155;,9945;3,52;,46;10,5;4
7,4;,28;,42;19,8;,066;53;195;1;2,96;,44;9,1;3
6,2;,28;,22;7,3;,041;26;157;,9957;3,44;,64;9,8;5
9,1;,59;,38;1,6;,066;34;182;,9968;3,23;,38;8,5;1
8,3;,39;,7;10,6;,045;33;169;,9976;3,09;,57;9,4;3
7,2;,19;,46;3,8;,041;82;187;,9932;3,19;,6;11,2;5
6,7;,17;,5;2,1;,043;27;122;,9923;3,15;,45;10,3;4
8,3;,2;,35;,9;,05;12;74;,992;3,13;,38;10,5;4
6,1;,41;0;1,6;,063;36;87;,9914;3,27;,67;10,8;4
7,3;,41;,24;6,8;,057;41;163;,9949;3,2;,41;9,9;4
7,3;,41;,24;6,8;,057;41;163;,9949;3,2;,41;9,9;4
7,2;,43;,24;6,7;,058;40;163;,995;3,2;,41;9,9;3
7,3;,4;,24;6,7;,058;41;166;,995;3,2;,41;9,9;4
6,2;,33;,27;4,9;,036;30;134;,9927;3,2;,42;10,4;5
6,2;,31;,26;4,8;,037;36;148;,9928;3,21;,41;10,4;4
6,1;,36;,27;2,1;,035;16;100;,9917;3,4;,71;11,5;5
5;,55;,14;8,3;,032;35;164;,9918;3,53;,51;12,5;6
7,8;,25;,41;3,7;,042;37;149;,9954;3,36;,45;10;4
5,7;,36;,21;6,7;,038;51;166;,9941;3,29;,63;10;4
5,8;,34;,21;6,6;,04;50;167;,9941;3,29;,62;10;3
6,8;,28;,6;1,1;,132;42;127;,9934;3,09;,44;9,1;4
6,6;,24;,35;7,7;,031;36;135;,9938;3,19;,37;10,5;3
5,9;,3;,47;7,85;,03;19;133;,9933;3,52;,43;11,5;5
6;,1;,24;1,1;,041;15;65;,9927;3,61;,61;10,3;5
6,6;,24;,35;7,7;,031;36;135;,9938;3,19;,37;10,5;3
6,8;,25;,34;4,7;,031;34;134;,9927;3,21;,38;10,6;4
6,8;,28;,44;9,3;,031;35;137;,9946;3,16;,36;10,4;4
8,3;,41;,51;2;,046;11;207;,993;3,02;,55;11,4;3
7,5;,27;,31;5,8;,057;131;313;,9946;3,18;,59;10,5;3
7,2;,21;,41;1,3;,036;33;85;,992;3,17;,51;10,4;3
6,8;,24;,34;4,6;,032;37;135;,9927;3,2;,39;10,6;3
6,3;,23;,3;1,8;,033;16;91;,9906;3,28;,4;11,8;4
6,5;,28;,34;9,9;,038;30;133;,9954;3,11;,44;9,8;3
5,6;,26;,26;5,7;,031;12;80;,9923;3,25;,38;10,8;3
6,3;,23;,3;1,8;,033;16;91;,9906;3,28;,4;11,8;4
6,3;,23;,33;1,5;,036;15;105;,991;3,32;,42;11,2;4
5,8;,27;,27;12,3;,045;55;170;,9972;3,28;,42;9,3;4
5,9;,26;,4;1,3;,047;12;139;,9945;3,45;,53;10,4;3
8;,24;,36;1,5;,047;17;129;,9948;3,2;,54;10;4
6,4;,26;,42;9,7;,044;30;140;,9962;3,18;,47;9,1;4
5,4;,31;,47;3;,053;46;144;,9931;3,29;,76;10;3
5,6;,34;,1;1,3;,031;20;68;,9906;3,36;,51;11,2;5
6,7;,19;,41;15,6;,056;75;155;,9995;3,2;,44;8,8;4
7,6;,17;,45;11,2;,054;56;137;,997;3,15;,47;10;3
6,3;,12;,36;2,1;,044;47;146;,9914;3,27;,74;11,4;5
7,3;,33;,4;6,85;,038;32;138;,992;3,03;,3;11,9;5
5,5;,335;,3;2,5;,071;27;128;,9924;3,14;,51;9,6;4
7,3;,33;,4;6,85;,038;32;138;,992;3,03;,3;11,9;5
5,8;,4;,42;4,4;,047;38,5;245;,9937;3,25;,57;9,6;4
7,3;,22;,37;14,3;,063;48;191;,9978;2,89;,38;9;4
7,3;,22;,37;14,3;,063;48;191;,9978;2,89;,38;9;4
10;,2;,39;1,4;,05;19;152;,994;3;,42;10,4;4
6,9;,24;,34;4,7;,04;43;161;,9935;3,2;,59;10,6;4
6,8;,15;,3;5,3;,05;40;127;,9942;3,4;,39;9,7;4
7,3;,22;,37;14,3;,063;48;191;,9978;2,89;,38;9;4
6,8;,16;,4;2,3;,037;18;102;,9923;3,49;,42;11,4;5
6;,18;,27;1,5;,089;40;143;,9923;3,49;,62;10,8;4
6,9;,33;,21;1;,053;39;148;,9927;3,12;,45;9,4;4
7,1;,39;,35;12,5;,044;26;72;,9941;3,17;,29;11,6;3
7,7;,29;,48;2,3;,049;36;178;,9931;3,17;,64;10,6;4
6,6;,905;,19;,8;,048;17;204;,9934;3,34;,56;10;3
7,2;,27;,27;2,4;,048;30;149;,9936;3,1;,51;9,2;4
5,1;,33;,22;1,6;,027;18;89;,9893;3,51;,38;12,5;5
5,1;,33;,22;1,6;,027;18;89;,9893;3,51;,38;12,5;5
6,4;,31;,28;1,5;,037;12;119;,9919;3,32;,51;10,4;5
7,3;,2;,44;1,4;,045;21;98;,9924;3,15;,46;10;5
6,4;,31;,28;1,5;,037;12;119;,9919;3,32;,51;10,4;5
7,2;,28;,26;12,5;,046;48;179;,9975;3,1;,52;9;4
7,5;,35;,28;9,6;,051;26;157;,9969;3,12;,53;9,2;4
7,2;,27;,27;2,4;,048;30;149;,9936;3,1;,51;9,2;4
6;,36;,39;3,2;,027;20;125;,991;3,38;,39;11,3;5
5,1;,33;,22;1,6;,027;18;89;,9893;3,51;,38;12,5;5
5;,17;,56;1,5;,026;24;115;,9906;3,48;,39;10,8;5
6,3;,39;,35;5,9;,04;82,5;260;,9941;3,12;,66;10,1;3
6,7;,21;,32;5,4;,047;29;140;,995;3,39;,46;9,7;4
7;,3;,38;14,9;,032;60;181;,9983;3,18;,61;9,3;5
6,5;,36;,32;1,1;,031;13;66;,9916;3,1;,46;10,6;3
6,1;,55;,15;9,8;,031;19;125;,9957;3,36;,47;10,2;4
7,3;,24;,43;2;,021;20;69;,99;3,08;,56;12,2;4
6,8;,37;,51;11,8;,044;62;163;,9976;3,19;,44;8,8;3
8,2;,28;,42;1,8;,031;30;93;,9917;3,09;,39;11,4;3
6,3;,2;,4;1,5;,037;35;107;,9917;3,46;,5;11,4;4
6,4;,19;,42;2,9;,032;32;83;,9908;3,3;,41;11,7;4
6,3;,2;,4;1,5;,037;35;107;,9917;3,46;,5;11,4;4
6,1;,35;,07;1,4;,069;22;108;,9934;3,23;,52;9,2;3
7,1;,27;,31;18,2;,046;55;252;1;3,07;,56;8,7;3
6,8;,22;,31;6,3;,035;33;170;,9918;3,24;,66;12,6;4
5,8;,28;,34;4;,031;40;99;,9896;3,39;,39;12,8;5
6,9;,49;,24;1,2;,049;13;125;,9932;3,17;,51;9,4;3
6,3;,14;,39;1,2;,044;26;116;,992;3,26;,53;10,3;4
8,2;,28;,42;1,8;,031;30;93;,9917;3,09;,39;11,4;3
7,2;,25;,39;18,95;,038;42;155;,9999;2,97;,47;9;4
7,2;,19;,39;1,2;,036;32;85;,9918;3,16;,5;10,5;3
7,2;,19;,39;1,2;,036;32;85;,9918;3,16;,5;10,5;3
7,2;,25;,39;18,95;,038;42;155;,9999;2,97;,47;9;4
7,3;,28;,36;12,7;,04;38;140;,998;3,3;,79;9,6;4
7,4;,21;,27;1,2;,041;27;99;,9927;3,19;,33;9,8;4
6,8;,26;,22;7,7;,047;57;210;,9959;3,1;,47;9;3
7,4;,21;,27;1,2;,041;27;99;,9927;3,19;,33;9,8;4
7;,22;,31;2,7;,03;41;136;,9898;3,16;,37;12,7;5
7;,21;,28;8,6;,045;37;221;,9954;3,25;,54;10,4;4
6,9;,23;,38;8,3;,047;47;162;,9954;3,34;,52;10,5;5
7;,21;,28;8,7;,045;37;222;,9954;3,25;,54;10,4;4
7;,21;,28;8,6;,045;37;221;,9954;3,25;,54;10,4;4
6,8;,29;,5;13,3;,053;48;194;,9974;3,09;,45;9,4;3
7,8;,21;,27;1,2;,051;20;89;,9936;3,06;,46;9,1;3
7,1;,31;,47;13,6;,056;54;197;,9978;3,1;,49;9,3;3
6,8;,29;,5;13,3;,053;48;194;,9974;3,09;,45;9,4;3
6,4;,34;,1;1,1;,048;19;84;,9927;3,21;,38;9,8;3
7,4;,155;,34;2,3;,045;73,5;214;,9934;3,18;,61;9,9;5
7,2;,55;,09;1,5;,108;16;151;,9938;3,07;,57;9,2;2
7;,23;,36;7,1;,028;31;104;,9922;3,35;,47;12,1;6
6,9;,2;,37;6,2;,027;24;97;,992;3,38;,49;12,2;5
6,6;,16;,32;1,4;,035;49;186;,9906;3,35;,64;12,4;6
7,4;,155;,34;2,3;,045;73,5;214;,9934;3,18;,61;9,9;5
6,7;,22;,37;1,6;,028;24;102;,9913;3,29;,59;11,6;5
6,1;,38;,2;6,6;,033;25;137;,9938;3,3;,69;10,4;4
6;,25;,28;2,2;,026;54;126;,9898;3,43;,65;12,9;6
6,6;,52;,44;12,2;,048;54;245;,9975;3,26;,54;9,3;4
6,9;,24;,36;20,8;,031;40;139;,9975;3,2;,33;11;4
7,1;,32;,32;11;,038;16;66;,9937;3,24;,4;11,5;1
5,8;,28;,27;2,6;,054;30;156;,9914;3,53;,42;12,4;3
6,5;,41;,24;14;,048;24;113;,9982;3,44;,53;9,8;4
6,4;,28;,29;1,6;,052;34;127;,9929;3,48;,56;10,5;5
7,2;,6;,2;9,9;,07;21;174;,9971;3,03;,54;9,1;3
6,1;,2;,25;1,2;,038;34;128;,9921;3,24;,44;10,1;3
5,9;,46;,14;2,7;,042;27;160;,9931;3,46;,51;10,6;5
6,4;,28;,29;1,6;,052;34;127;,9929;3,48;,56;10,5;5
6,4;,41;,24;14;,048;24;113;,9982;3,44;,53;9,8;4
6,3;,23;,31;1,5;,022;11;82;,9892;3,3;,4;12,9;5
7,1;,21;,27;8,6;,056;26;111;,9956;2,95;,52;9,5;3
6;,37;,32;1;,053;31;218,5;,9924;3,29;,72;9,8;4
7,1;,21;,27;8,6;,056;26;111;,9956;2,95;,52;9,5;3
7;,25;,29;15,2;,047;40;171;,9982;3,22;,45;9,3;3
5,9;,25;,19;12,4;,047;50;162;,9973;3,35;,38;9,5;3
6,8;,32;,21;2,2;,044;15;68;,9932;3,17;,39;9,4;4
